CODPROD;DESCRICAO;EMBALAGEM
3973;AP 3G APPLE IPHONE PTO 8GB 3GS;1UN
2265;FONTANA-SABONETE IARA RELAX;12X90GR
3492;NEUG.-BARRA CHOC. 1891 20GR;20X20GR
3493;NEUG.-BOMBOM DELIRIO ;30X29GR
3494;NEUG.-BOMBOM BONETTO;16X25GR
3495;NEUG.-BIB'S PRETO E BRANCO;18X40GR
1661;CARTUCHO P/ 1 GFA COLLINA DEL SOLE;1X1
1662;CARTUCHO P/ 2 GFAS COLLINA DEL SOLE;1X1
539;V.FERTIL-AZ.BALDE VERDE FATIADA;1,8KG
750;PAN-PASTILHA MIRIN R.9709;20X50GR
769;PAN-CHOCOLAPIS CHOC. AO LEITE SM R.1362;CX 20X2
3646;FINI-PAPEL FORRACAO ;1UN
1495;V.FERTIL-AZEITONA VERDE CP;24X100GR
285;M.BRASILIA TRIGO P/QUIBE ;12X500GR
3505;GEO-SAB.BARRA GLIC.RALADO AZUL CART.1KG;12X1KG
3506;GEO-SAB.BARRA GLIC.RALADO NEUTR CART.1KG;12X1KG
3507;GEO SABAO BARRA EXTRUZADO AZUL PERF.R.25;10X5X200GR
3508;GEO SABAO BARRA ECONOMICO REF.28;10X5X200GR
3509;GEO-SABAO BARRA GLICERINADO NEUTRO 1KG;10X5X200GR
3469;TV PLASMA 42 POLEGADAS;1UN
3519;SAPEKA FRALDA DESC NOTURNA M 8X1;PCT
9129;BAZOOKA-PIR.SPRING POP LOL DP;25X14GR
3510;GEO SABAO BARRA GLICERINADO LIMAO REF.26;10X5X200GR
3528;CARTUCHO P/ 1 GFA ESTILO;1UN
3529;CARTUCHO P/ 1 GFA SANTA COLINA ;1UN
3530;CART.MALETA P/2 GFAS FILTRADO DEL SOLE ;1UN
3620;FINI BALA GELATINA MICKEY E AMIGOS;8X40GR
684;B.VISTA-BISC.TUCS CHURRASQ. DIN CRACKER ;30X100GR
106;B.VISTA-BISC.RECH.DOCE DE LEITE ;30X140GR
73;GINA PALITO REF.102;20X200
743;PAN-BALA GOTA DE MEL R.2308;24X140GR
3621;FINI BALA GELATINA PT BEIJINHO;1X125UN
3622;BAUDUCCO-BISC.WAFER CROCANTE;42X150GR
3623;BAUDUCCO-ROCAMBOLE TOP TRIPLO ;230GR
3624;BAUDUCCO-BISC.AMANT.MP MANTEIGA;24X335GR
3636;LAVADORA LIBELL PREMIUM ;1UN
1906;TEMPERO COMPLETO SC M.BRASILIA;12X1KG
1916;CARROCERIA FURGAO CARGA SECA  M FACCHINI;1PF
1917;VEIC. MARCA VW MOD.15.180 /2005 BRANCO;1UN
1918;VEIC. MARCA VW MOD. 8.150 /2005 BRANCO;1UN
1556;VINHO GFAO COLLINA TINTO SUAVE;4,5LT
2497;CESTO ARAMADO PARA FRALDAS;1UN
2335;VITTAMAX-RACAO CAES PREMIUM;15KG
1558;VINHO GFAO COLLINA BRANCO SUAVE;4,5LT
2505;FLORESTAL PIRULITO CORAÇÃO VERMELHO ;1X600GR
3628;BAUDUCCO-PANETTONE FRUTAS;500GR
3629;BAUDUCCO-PANETTONE CHOCOTTONE;500GR
3630;BAUDUCCO-PANETTONE TOMMY FRUTAS;400GR
3631;BAUDUCCO-PANETTONE TOMMY GOTAS CHOCOLATE;400GR
2506;FLORESTAL PIRULITO CORAÇÃO COLORIDO ;1X600GR
2509;AR CONDICIONADO KO S 12 FC;1UN
2510;CATCHUP PICANTE M.BRASILIA ;12X400GR
9111;FLORESTAL SM BALA BRAZILLIAN COFFEE;1X108GR
3954;DAFRUTA SUCO CONC.PESSEGO PET;12X500ML
36;B.VISTA-BISC.CREAM CRACKER ;PCT 200GR
903;RACAO GATOS VITTAMAX PEIXE ;8KG
905;VITTAMAX-RACAO CAES CLASSIC ;15KG
3501;SUCO UVA ALIANCA TERRA BRANCO INTEGRAL;6X1LT
3532;CONJ. PORTA PALETE CA/CA;1UN
3640;VINHO PERSONALIZADO TTO SUAVE COLLINA;12X750ML
2964;PVM-MENTOS SM P.FRESH F.TOP WINTERGREEN ;2X20GR
271;FARINHA MAND.BRANCA FINA M.BRASILIA;20X500GR
40;GINA PALITO REF.107;5000X1UN
914;V.FERTIL-CEREJAS MARRASQUINO ;PT 110GR
103;B.VISTA-BISC.RECH.MORANGO ;30X140GR
279;MILHO PIPOCA NACIONAL M.BRASILIA;20X500GR
3377;TV COLOR SAMSUNG 29 Z50MQT;1UN
2347;VITTAMAX-RACAO CAES CLASSIC ;6X2,3KG
3950;DAFRUTA SUCO CONC.ACEROLA PET;12X500ML
3951;DAFRUTA SUCO CONC.CUPUACU PET;12X500ML
3952;DAFRUTA SUCO CONC.GOIABA PET;12X500ML
554;V.FERTIL-AZEITE OLIVA ARGENTINO ;LT 200ML
64;B.VISTA-BISC.MAIZENA ;PCT 200GR
532;V.FERTIL-AZEITE OLIVA ARGENTINO ;LT 500ML
523;V.FERTIL-AZEITONA PRETA PREMIUM AZAPA ;VD 360GR
3634;BAUDUCCO-MINI PANETTONE FRUTAS;80GR
3635;BAUDUCCO-MINI PANETTONE CHOCOTTONE;80GR
734;PAN-CHOC.GRANULADO P/COBERT R.3709;20X150GR
736;PAN-CHOC.GRANULADO P/COBERT R.3717;1KG
744;PAN-GOMA MORANGO R.2517;20X200GR
745;PAN-GOMA PICOLINO SORTIDA R.2512;20X200GR
3673;V.FERTIL-AZ.BALDE VERDE 24/28 M;2,0KG
3953;DAFRUTA SUCO CONC.LARANJA PET;12X500ML
2959;PVM-MENTOS MINI PT P.FRESH MINT/WINTERGR;1X170UN
2960;PVM-MENTOS P.FRESH F.MINT/WINT.EMB.INDIV;120GR
3941;DAFRUTA SUCO CONC.ABACAXI PET;12X500ML
3942;DAFRUTA SUCO CONC.CAJU PET;12X500ML
3943;DAFRUTA SUCO CONC.MANGA PET;12X500ML
3966;MULTIDRINK VODKA RAIZOV MACA;6X900ML
2961;PVM-MENTOS P.FRESH F.TOP BLAST RED F.LIM;12X5UN
2962;PVM-MENTOS SM P.FRESH F.TOP FRESH MINT;2X20GR
1805;COOLER GFA SANTHIAGO TRAD. UVA;12X870ML
3336;FINI MARSHMALLOW CORACAO;500GR
